Spec., Epochs, Batch Size, Learning Rate, No. of Clauses, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Skolem Function Vector, Result, Time, Final Loss, Loss Drop, Accuracy
ex1.v, 4, 1, 0.1, 1, 1, 1, 0, {0: '(i_33 | ~i_33)\n'}, Valid, 0.8767263889312744, 0.3593218130755279, 0.29798559244424794, 1.0
ex1.v, 4, 1, 0.1, 1, 1, 1, 0, {0: '(i_33 | ~i_33)\n'}, Valid, 0.881453275680542, 0.4139659922914314, 0.48555146385215886, 1.0
ex4.v, 2, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.7780272960662842, 0.2504965067745368, 0.10434575795813783, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6208229064941406, 0.08340465469801973, 0.0, 1.0
ex4.v, 4, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.897921085357666, 0.34356820540350935, 0.6902662907731643, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.624457597732544, 0.23096597712946873, 0.0, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6112973690032959, 0.028415192308399582, 0.0, 1.0
ex4.v, 4, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9056296348571777, 0.32151714142262744, 0.267462932006465, 1.0
ex4.v, 5, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.0038948059082031, 0.24817679863455736, 0.027612825084816522, 1.0
ex4.v, 4, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.8921065330505371, 0.20328334693835615, 0.32302976815699247, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6281893253326416, 0.09715112730684787, 0.0, 1.0
ex4.v, 5, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9814448356628418, 0.3761150505844175, 0.5481679494656272, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '()\n'}, empty string, 0.4562375545501709, 0.07929823518817075, 0.0, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6116113662719727, 0.04716579328405394, 0.0, 1.0
ex4.v, 3, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.8324575424194336, 0.32048757779924963, -0.038835240635029966, 1.0
ex4.v, 4, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9040024280548096, 0.398473323130369, 0.13123853124542484, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.653439998626709, 0.19811579709197757, 0.0, 1.0
ex4.v, 5, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9939842224121094, 0.3221899242904456, 0.9387107476323056, 1.0
ex4.v, 4, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9454052448272705, 0.3641747405296973, 0.23973023440483193, 1.0
ex4.v, 3, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.8228883743286133, 0.38791733734828693, 0.11109150526336897, 1.0
ex4.v, 4, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9015560150146484, 0.42533824424002653, 0.18284238951086396, 1.0
ex4.v, 4, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9086134433746338, 0.2917592017936763, 0.4891137067541592, 1.0
ex4.v, 5, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9998810291290283, 0.276651875984356, 0.8269334631999441, 1.0
ex4.v, 5, 1, 0.1, 1, 1, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.0169243812561035, 0.2709424078722466, 0.709405835673045, 1.0
ex4.v, 1, 1, 0.1, 1, 1, 1, 0, {1: '\n'}, empty string, 0.446697473526001, 0.1263245706727577, 0.0, 1.0
