Spec., Epochs, Batch Size, Learning Rate, No. of Clauses, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Skolem Function Vector, Result, Time, Final Loss, Loss Drop, Accuracy
ex8.v, 1, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.5301225185394287, 0.6542990792893003, 0.0, 1.0
ex8.v, 2, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.6123306751251221, 0.22910865226201182, 0.5909682761619173, 1.0
ex8.v, 1, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.5275247097015381, 0.6810189134335369, 0.0, 1.0
ex8.v, 2, 1, 0.5, 1, 1, 1, 0, (i0), Valid, 0.6175506114959717, 0.20825728994496528, 0.5976747839135277, 1.0
sample1.v, 2, 1, 0.5, 1, 1, 2, 0, (i0); (i0 | ~i0), Valid, 0.6382412910461426, 0.05266179766865741, 0.5160297150929355, 1.0
sample1.v, 2, 1, 0.5, 1, 1, 2, 0, (i0); (i0 | ~i0), Valid, 0.6273951530456543, 0.05980701434082883, 0.4644505230030772, 1.0
sample1.v, 2, 1, 0.5, 1, 1, 2, 0, (i0); (i0 | ~i0), Valid, 0.6208884716033936, 0.05761782488578886, 0.5206988010096226, 1.0
sample1.v, 2, 1, 0.5, 1, 1, 2, 0, (i0); (i0 | ~i0), Valid, 0.5424234867095947, 0.0799006974931793, 0.4112459872223413, 1.0
sample1.v, 2, 1, 0.5, 1, 1, 2, 0, (i0); (i0 | ~i0), Valid, 0.623725175857544, 0.06916225820197608, 0.5386415527458419, 1.0
sample1.v, 2, 1, 0.5, 1, 1, 2, 0, (i0); (i0 | ~i0), Valid, 0.6863908767700195, 0.047714874213210405, 0.48465275823232046, 1.0
sample1.v, 2, 1, 0.5, 1, 1, 2, 0, (i0); (i0 | ~i0), Valid, 0.7158029079437256, 0.08811677872735212, 0.3870349585355142, 1.0
sample1.v, 2, 1, 0.5, 1, 1, 2, 0, (i0); (i0 | ~i0), Valid, 0.6361865997314453, 0.06034749424560612, 0.49021677148942455, 1.0
sample1.v, 2, 1, 0.5, 1, 1, 2, 0, (i0); (i0 | ~i0), Valid, 0.6566646099090576, 0.060672286902970524, 0.4702760692782437, 1.0
sample1.v, 2, 1, 0.5, 1, 1, 2, 0, (i0); (i0 | ~i0), Valid, 0.5975196361541748, 0.04936457451263606, 0.5728102725146376, 1.0
sample2.v, 2, 1, 0.5, 1, 2, 1, 0, (i0 | ~i1), Valid, 0.691704273223877, 0.3650934194515334, 0.5021659410904443, 1.0
sample2.v, 2, 1, 0.5, 1, 2, 1, 0, (i0 | ~i1), Valid, 0.6383073329925537, 0.40600657668063034, 0.5203970644836535, 1.0
sample2.v, 2, 1, 0.5, 1, 2, 1, 0, (i0 | ~i1), Valid, 0.693596601486206, 0.26517828289740597, 0.5887136268805238, 1.0
sample2.v, 2, 1, 0.5, 1, 2, 1, 0, (i0 | ~i1), Valid, 0.6220729351043701, 0.23132954629129723, 0.6288526468789428, 1.0
sample2.v, 2, 1, 0.5, 1, 2, 1, 0, (i0 | ~i1), Valid, 0.5832440853118896, 0.2762128213134161, 0.6369269980282861, 1.0
sample2.v, 2, 1, 0.5, 1, 2, 1, 0, (i0 | ~i1), Valid, 0.5002269744873047, 0.296759940262411, 0.5787493552144929, 1.0
sample2.v, 2, 1, 0.5, 1, 2, 1, 0, (i0 | ~i1), Valid, 0.6677684783935547, 0.30529834170976233, 0.5958271820995658, 1.0
sample2.v, 2, 1, 0.5, 1, 2, 1, 0, (i0 | ~i1), Valid, 0.7072420120239258, 0.3256475715102908, 0.5778420581619172, 1.0
sample2.v, 2, 1, 0.5, 1, 2, 1, 0, (i0 | ~i1), Valid, 0.5899624824523926, 0.3727899234325277, 0.5030218371847577, 1.0
sample2.v, 2, 1, 0.5, 1, 2, 1, 0, (i0 | ~i1), Valid, 0.6564793586730957, 0.2624105684544695, 0.5748158530919314, 1.0
sample3.v, 7, 1, 0.5, 2, 3, 1, 0, (i0 | ~i2) & (i1 | ~i2), Valid, 1.0290052890777588, 0.5869901655926504, 1.386794227209697, 1.0
sample3.v, 4, 1, 0.5, 2, 3, 1, 0, (i0 | ~i2) & (i1 | ~i2), Valid, 0.8042416572570801, 0.6110003852146352, 1.4829940368971375, 1.0
sample3.v, 7, 1, 0.5, 2, 3, 1, 0, (i0 | ~i2) & (i1 | ~i2), Valid, 1.1154189109802246, 0.6690030471701065, 1.4589364741533557, 1.0
sample3.v, 8, 1, 0.5, 2, 3, 1, 0, (i0 | ~i2) & (i1 | ~i2), Valid, 1.1369857788085938, 0.6545324021405551, 1.466052573044184, 1.0
sample3.v, 5, 1, 0.5, 2, 3, 1, 0, (i0 | ~i2) & (i1 | ~i2), Valid, 0.8528919219970703, 0.6578742615765634, 1.3588388650310563, 1.0
