Spec, No. of Inputs, No. of Outputs, IsAllUnate, Preprocess Time
stmt17_62_78.qdimacs, 392, 7697, Not All Unates, 251.78520011901855
sortnetsort7.AE.stepl.008.qdimacs, 648, 2943, Not All Unates, 18.81101894378662
sortnetsort9.AE.stepl.008.qdimacs, 1184, 5259, Not All Unates, 75.92896866798401
query45_query42_1344n.qdimacs, 74, 952, Not All Unates, 1.4062201976776123
small-equiv-fixpoint-5.qdimacs, 192, 10876, Not All Unates, 432.6427125930786
ethernet-fixpoint-2.qdimacs, 695, 7219, Not All Unates, 174.25645780563354
itc-b13-fixpoint-3.qdimacs, 214, 3295, Not All Unates, 25.847919940948486
usb-phy-fixpoint-4.qdimacs, 835, 6930, Not All Unates, 184.29693603515625
stmt19_313_412.qdimacs, 280, 5207, Not All Unates, 90.43888735771179
stmt19_65_87.qdimacs, 450, 8509, Not All Unates, 319.5944001674652
intermediate64.qdimacs, 128, 511, Not All Unates, 0.5703566074371338
stmt53_296_346.qdimacs, 250, 4823, Not All Unates, 76.05436038970947
rankfunc53_unsigned_64.qdimacs, 384, 3030, Not All Unates, 24.98143243789673
ex9.qdimacs, 1, 2, Not All Unates, 0.03653550148010254
query04_query25_1344n.qdimacs, 66, 375, Not All Unates, 0.32819128036499023
cycle_sched_6_7_1.sat.qdimacs, 294, 6439, Not All Unates, 135.91312336921692
axquery_query42_1344n.qdimacs, 62, 556, Not All Unates, 0.5136768817901611
bobtuint07neg_all_bit_differing_from_cycle.qdimacs, 432, 1204, Not All Unates, 3.4110217094421387
equalization128.qdimacs, 256, 1608, Not All Unates, 5.8820226192474365
small-bug1-fixpoint-6.qdimacs, 20, 83, Not All Unates, 0.1150064468383789
exquery_query42_1344n.qdimacs, 62, 556, Not All Unates, 0.786217451095581
Q_2-3_v-80-100_r-11.1.qdimacs, 80, 100, Not All Unates, 0.15569710731506348
sortnetsort7.AE.stepl.005.qdimacs, 405, 1845, Not All Unates, 7.6005189418792725
query44_query26_1344n.qdimacs, 168, 4045, Not All Unates, 76.68291687965393
query60_query42_1344n.qdimacs, 136, 3399, Not All Unates, 53.623709201812744
subtraction32.qdimacs, 64, 219, Not All Unates, 0.2263340950012207
Q_2-3_v-80-100_r-11.8.qdimacs, 80, 100, Not All Unates, 0.14730238914489746
ceiling32.qdimacs, 64, 278, Not All Unates, 0.2889721393585205
sdlx-fixpoint-7.qdimacs, 559, 11613, Not All Unates, 500.33007645606995
