Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result
5, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
-,-,-,-,-
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 50, 27, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
-,-,-,-,-
5, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
5, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
-,-,-,-,-
10, 1, 0, empty string, Invalid
10, 1, 0, empty string, Invalid
10, 1, 0, empty string, Invalid
10, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
10, 1, 0, empty string, Invalid
10, 1, 0, empty string, Invalid
10, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
10, 1, 2, {1: '(i_0 | ~i_0)\n'}, Valid
10, 1, 0, empty string, Invalid
10, 1, 0, empty string, Invalid
-,-,-,-,-
10, 2, 0, {1: '(~i_0)\n'}, Valid
10, 2, 0, {1: '(~i_0)\n'}, Valid
10, 2, 0, empty string, Invalid
10, 2, 0, empty string, Invalid
