Verilog File Name, Num of Vars, Epochs, Samples Enumerated, Synthesis Time
sample1_preprocessed.v,3,50,100000,0.273099422454834
sample1_preprocessed.v,3,50,100000,0.22636032104492188
sample1_preprocessed.v,3,50,100000,0.20956969261169434
sample1_preprocessed.v,3,50,100000,0.1824955940246582
sample2_preprocessed.v,3,50,100000,0.2518339157104492
sample2_preprocessed.v,3,50,100000,0.29914140701293945
sample1_preprocessed.v,3,100,200000,0.21849894523620605
sample2_preprocessed.v,3,50,100000,0.24937200546264648
sample3_preprocessed.v,4,50,100000,0.22947359085083008
sample3_preprocessed.v,4,50,100000,0.21999526023864746
sample4_preprocessed.v,4,50,100000,0.22746038436889648
sample4_preprocessed.v,4,50,100000,0.22766709327697754
sample4_preprocessed.v,4,60,100000,0.2721743583679199
sample4_preprocessed.v,4,70,100000,0.22562336921691895
amba2f9n.sat_preprocessed.v,79,50,100000,123.0264744758606
bobsmhdlc2_all_bit_differing_from_cycle.v,639,50,100000,145.68014407157898
sdlx-fixpoint-1.v,156,50,100000,26.01646065711975
sdlx-fixpoint-1.v,156,50,100000,28.08735466003418
sdlx-fixpoint-1.v,156,50,10000,26.760393381118774
sdlx-fixpoint-2.v,304,50,10000,137.16110467910767
sdlx-fixpoint-3.v,452,50,10000,338.61761379241943
axquery_query42_1344n.v,601,50,10000,192.45458221435547
bs128y.sat.v,268,50,10000,601.9576101303101
query01_query42_1344n.v,721,50,10000,270.14006423950195
max32.v,178,50,10000,29.470734119415283
max64.v,359,50,10000,83.74953269958496
max128.v,722,50,10000,275.04327511787415
equalization32.v,228,50,10000,51.12854528427124
equalization64.v,464,50,10000,157.8027446269989
equalization128.v,934,50,10000,571.9862625598907
min32.v,179,50,10000,30.204865217208862
min128.v,723,50,10000,287.366259098053
min256.v,1447,50,10000,1042.6740293502808
sdlx-fixpoint-4.v,600,50,10000,592.479335308075
amba2c7n.sat.v,73,50,10000,81.76853322982788
amba3b5y.sat.v,93,50,10000,193.84355211257935
amba4c7n.sat.v,100,50,10000,523.3326404094696
amba5b5n.sat.v,122,50,10000,581.074892282486
amba5b5n.sat.v,122,50,10000,564.6850175857544
sample1_preprocessed.v,3,50,10000,0.8921818733215332
sample1_preprocessed.v,3,50,10000,0.45041418075561523
sample1_preprocessed.v,3,50,10000,0.4657607078552246
sample1_preprocessed.v,3,50,10000,0.6484613418579102
sample1_preprocessed.v,3,50,10000,0.24550747871398926
sample1_preprocessed.v,3,5,10000,0.21429038047790527
sample1_preprocessed.v,3,5,10000,0.2833397388458252
sample1_preprocessed.v,3,5,10000,0.32926082611083984
sample1_preprocessed.v,3,5,10000,0.24034523963928223
sample1_preprocessed.v,3,5,10000,0.2295985221862793
sample1_preprocessed.v,3,5,10000,0.20546436309814453
sample1_preprocessed.v,3,5,10000,0.23808002471923828
