Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result, Time
-,-,-,-,-
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 35.34754753112793
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 35.4651939868927
-,-,-,-,-
10, 1, 0, empty string, Invalid, 0.3903844356536865
10, 1, 0, empty string, Invalid, 0.3672628402709961
10, 1, 0, empty string, Invalid, 0.37572383880615234
10, 1, 0, empty string, Invalid, 0.3686866760253906
10, 1, 0, empty string, Invalid, 0.37758970260620117
10, 1, 4, {1: '(~i_0)\n'}, Valid, 0.11231398582458496
10, 1, 0, empty string, Invalid, 0.3787269592285156
10, 1, 0, empty string, Invalid, 0.37593793869018555
10, 1, 0, empty string, Invalid, 0.3793485164642334
10, 1, 15, {1: '(~i_0)\n'}, Valid, 1.0319464206695557
-,-,-,-,-
10, 2, 0, empty string, Invalid, 0.32514500617980957
10, 2, 3, {1: '(~i_0)\n'}, Valid, 0.37113189697265625
10, 2, 0, empty string, Invalid, 0.3743321895599365
10, 2, 1, {1: '(~i_0)\n'}, Valid, 0.07300400733947754
10, 2, 13, {1: '(~i_0)\n'}, Valid, 0.97308349609375
10, 2, 1, {1: '(~i_0)\n'}, Valid, 0.06629133224487305
10, 2, 3, {1: '(~i_0)\n'}, Valid, 0.35193371772766113
10, 2, 2, {1: '(~i_0)\n'}, Valid, 0.24239850044250488
10, 2, 1, {1: '(~i_0)\n'}, Valid, 0.0737006664276123
10, 2, 3, {1: '(~i_0)\n'}, Valid, 0.08995795249938965
-,-,-,-,-
10, 3, 0, empty string, Invalid, 0.3736884593963623
10, 3, 1, {1: '(~i_0)\n'}, Valid, 0.07318115234375
10, 3, 2, {1: '(~i_0)\n'}, Valid, 0.2311410903930664
10, 3, 0, empty string, Invalid, 0.3261711597442627
10, 3, 0, empty string, Invalid, 0.3797578811645508
10, 3, 0, empty string, Invalid, 0.37695813179016113
10, 3, 0, empty string, Invalid, 0.3758363723754883
10, 3, 1, {1: '(~i_0)\n'}, Valid, 0.07468700408935547
10, 3, 5, {1: '(~i_0)\n'}, Valid, 0.5628478527069092
10, 3, 0, {1: '(~i_0)\n'}, Valid, 0.5628745555877686
-,-,-,-,-
10, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6086523532867432
10, 4, 10, {1: '(~i_0)\n'}, Valid, 1.5782864093780518
10, 4, 1, {1: '(~i_0)\n'}, Valid, 0.06385922431945801
10, 4, 3, {1: '(~i_0)\n'}, Valid, 0.4057443141937256
10, 4, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.55226731300354
10, 4, 2, {1: '(~i_0)\n'}, Valid, 0.07587218284606934
10, 4, 0, empty string, Invalid, 0.37421417236328125
10, 4, 6, {1: '(~i_0)\n'}, Valid, 0.7396509647369385
10, 4, 2, {1: '(~i_0)\n'}, Valid, 0.24102997779846191
10, 4, 3, {1: '(~i_0)\n'}, Valid, 0.42033886909484863
-,-,-,-,-
10, 5, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.23523616790771484
10, 5, 4, {1: '(~i_0)\n'}, Valid, 0.582085371017456
10, 5, 2, {1: '(~i_0)\n'}, Valid, 0.18422365188598633
10, 5, 0, empty string, Invalid, 0.32445430755615234
10, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.10145115852355957
10, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.09852957725524902
10, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.614619255065918
10, 5, 1, {1: '(~i_0)\n'}, Valid, 0.0734715461730957
10, 5, 1, {1: '(~i_0)\n'}, Valid, 0.07118368148803711
10, 5, 0, {1: '(~i_0)\n'}, Valid, 0.6341450214385986
-,-,-,-,-
10, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6016874313354492
10, 10, 1, {1: '(~i_0)\n'}, Valid, 0.07340073585510254
10, 10, 7, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.1260037422180176
10, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6952500343322754
10, 10, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6633572578430176
10, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.06799054145812988
10, 10, 0, {1: '(~i_0)\n'}, Valid, 0.6363687515258789
10, 10, 4, {1: '(~i_0)\n'}, Valid, 0.6359107494354248
10, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.08730030059814453
10, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.706017017364502
-,-,-,-,-
-,-,-,-,-
50, 1, 0, empty string, Invalid, 0.4150278568267822
50, 1, 6, {1: '(~i_0)\n'}, Valid, 0.8306605815887451
50, 1, 14, {1: '(~i_0)\n'}, Valid, 1.8763225078582764
50, 1, 2, {1: '(~i_0)\n'}, Valid, 0.18717074394226074
50, 1, 2, {1: '(~i_0)\n'}, Valid, 0.17592287063598633
50, 1, 12, {1: '(~i_0)\n'}, Valid, 1.4351179599761963
50, 1, 0, empty string, Invalid, 0.36519956588745117
50, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6925714015960693
50, 1, 5, {1: '(~i_0)\n'}, Valid, 0.45082569122314453
50, 1, 7, {1: '(~i_0)\n'}, Valid, 1.1178386211395264
-,-,-,-,-
50, 2, 0, {1: '(~i_0)\n'}, Valid, 0.6868395805358887
50, 2, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.2667114734649658
50, 2, 2, {1: '(~i_0)\n'}, Valid, 0.26900434494018555
50, 2, 0, {1: '(~i_0)\n'}, Valid, 0.6861097812652588
50, 2, 3, {1: '(~i_0)\n'}, Valid, 0.7681279182434082
50, 2, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.4855523109436035
50, 2, 0, {1: '(~i_0)\n'}, Valid, 0.6967849731445312
50, 2, 0, {1: '(~i_0)\n'}, Valid, 0.6930370330810547
50, 2, 0, empty string, Invalid, 0.4271090030670166
50, 2, 8, {1: '(~i_0)\n'}, Valid, 1.5758867263793945
-,-,-,-,-
50, 3, 2, {1: '(~i_0)\n'}, Valid, 0.30579400062561035
50, 3, 0, empty string, Invalid, 0.4119594097137451
50, 3, 4, {1: '(~i_0)\n'}, Valid, 0.9254093170166016
50, 3, 6, {1: '(~i_0)\n'}, Valid, 1.3860220909118652
50, 3, 5, {1: '(~i_0)\n'}, Valid, 1.0332603454589844
50, 3, 0, empty string, Invalid, 0.4434950351715088
50, 3, 0, {1: '(~i_0)\n'}, Valid, 0.6834759712219238
50, 3, 4, {1: '(~i_0)\n'}, Valid, 1.258019208908081
50, 3, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.35335755348205566
50, 3, 0, empty string, Invalid, 0.41402554512023926
-,-,-,-,-
50, 4, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.5721402168273926
50, 4, 2, {1: '(~i_0)\n'}, Valid, 0.31150245666503906
50, 4, 0, {1: '(~i_0)\n'}, Valid, 0.6870822906494141
50, 4, 1, {1: '(~i_0)\n'}, Valid, 0.12040996551513672
50, 4, 2, {1: '(~i_0)\n'}, Valid, 0.31119585037231445
50, 4, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.2754437923431396
50, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7268886566162109
50, 4, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.505814790725708
50, 4, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.15304160118103027
50, 4, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.14971637725830078
-,-,-,-,-
50, 5, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.4214074611663818
50, 5, 5, {1: '(~i_0)\n'}, Valid, 0.9202203750610352
50, 5, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.3109066486358643
