Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result, Time
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 50.26915884017944
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 54.12167930603027
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 50.3481650352478
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 46.581602573394775
5, 50, 23, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 5.443615436553955
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 53.80740761756897
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 53.686946392059326
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 53.998629093170166
5, 50, 85, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 44.06492757797241
5, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 54.988449811935425
-,-,-,-,-
10, 1, 0, {1: '(~i_0)\n'}, Valid, 0.6281206607818604
10, 1, 0, empty string, Invalid, 0.3716883659362793
10, 1, 0, empty string, Invalid, 0.3694930076599121
10, 1, 0, {1: '(~i_0)\n'}, Valid, 0.641547679901123
10, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5653278827667236
10, 1, 0, empty string, Invalid, 0.31281352043151855
10, 1, 0, empty string, Invalid, 0.3888366222381592
10, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6824765205383301
10, 1, 0, empty string, Invalid, 0.32939672470092773
10, 1, 0, empty string, Invalid, 0.38309264183044434
-,-,-,-,-
10, 2, 0, {1: '(~i_0)\n'}, Valid, 0.6526398658752441
10, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5891819000244141
10, 2, 1, {1: '(i_0 | ~i_0)\n'}, Valid, 0.1148533821105957
10, 2, 0, {1: '(~i_0)\n'}, Valid, 0.6289589405059814
10, 2, 0, empty string, Invalid, 0.37179136276245117
10, 2, 2, {1: '(~i_0)\n'}, Valid, 0.10965633392333984
10, 2, 0, empty string, Invalid, 0.3362395763397217
10, 2, 0, empty string, Invalid, 0.38131284713745117
10, 2, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.14421772956848145
10, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5862154960632324
-,-,-,-,-
10, 3, 0, empty string, Invalid, 0.44933319091796875
10, 3, 5, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6690757274627686
10, 3, 2, {1: '(i_0 | ~i_0)\n'}, Valid, 0.27864694595336914
10, 3, 0, {1: '(~i_0)\n'}, Valid, 0.6437621116638184
10, 3, 0, empty string, Invalid, 0.3778719902038574
10, 3, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.2725186347961426
10, 3, 0, {1: '(~i_0)\n'}, Valid, 0.6406729221343994
10, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5718221664428711
10, 3, 2, {1: '(~i_0)\n'}, Valid, 0.21579861640930176
10, 3, 1, {1: '(i_0 | ~i_0)\n'}, Valid, 0.07668185234069824
-,-,-,-,-
10, 4, 3, {1: '(i_0 | ~i_0)\n'}, Valid, 0.34961843490600586
10, 4, 0, empty string, Invalid, 0.38444948196411133
10, 4, 0, empty string, Invalid, 0.3839859962463379
10, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.585345983505249
10, 4, 0, {1: '(~i_0)\n'}, Valid, 0.567368745803833
10, 4, 0, {1: '(~i_0)\n'}, Valid, 0.6492528915405273
10, 4, 0, {1: '(~i_0)\n'}, Valid, 0.5534124374389648
10, 4, 2, {1: '(i_0 | ~i_0)\n'}, Valid, 0.10770511627197266
10, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5811450481414795
10, 4, 1, {1: '(~i_0)\n'}, Valid, 0.07796978950500488
-,-,-,-,-
10, 5, 0, empty string, Invalid, 0.3838014602661133
10, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6960303783416748
10, 5, 1, {1: '(~i_0)\n'}, Valid, 0.08759546279907227
10, 5, 0, empty string, Invalid, 0.3320767879486084
10, 5, 0, {1: '(~i_0)\n'}, Valid, 0.6425323486328125
10, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.692427396774292
10, 5, 1, {1: '(~i_0)\n'}, Valid, 0.08912229537963867
10, 5, 3, {1: '(~i_0)\n'}, Valid, 0.43195199966430664
10, 5, 0, empty string, Invalid, 0.3751046657562256
10, 5, 1, {1: '(~i_0)\n'}, Valid, 0.08684754371643066
-,-,-,-,-
10, 10, 2, {1: '(~i_0)\n'}, Valid, 0.22768211364746094
10, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.4379291534423828
10, 10, 8, {1: '(~i_0)\n'}, Valid, 1.633805274963379
10, 10, 1, {1: '(i_0 | ~i_0)\n'}, Valid, 0.07707452774047852
10, 10, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.959968090057373
10, 10, 14, {1: '(~i_0)\n'}, Valid, 3.5641486644744873
10, 10, 5, {1: '(i_0 | ~i_0)\n'}, Valid, 0.8140263557434082
10, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6954934597015381
10, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.30117011070251465
10, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6903338432312012
-,-,-,-,-
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 69.05373358726501
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 75.50893878936768
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 74.83273434638977
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 67.70180034637451
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 68.99184489250183
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 76.86258244514465
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 79.21627497673035
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 79.28068447113037
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 75.66198921203613
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 80.20776081085205
-,-,-,-,-
50, 1, 0, empty string, Invalid, 0.5347330570220947
50, 1, 0, empty string, Invalid, 0.45049142837524414
50, 1, 0, empty string, Invalid, 0.45044398307800293
50, 1, 0, empty string, Invalid, 0.39830708503723145
50, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6580057144165039
50, 1, 0, empty string, Invalid, 0.45412230491638184
50, 1, 0, {1: '(~i_0)\n'}, Valid, 0.7670626640319824
50, 1, 0, empty string, Invalid, 0.45105648040771484
50, 1, 0, empty string, Invalid, 0.45699596405029297
50, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.7498605251312256
-,-,-,-,-
50, 2, 0, {1: '(~i_0)\n'}, Valid, 0.8254711627960205
50, 2, 0, empty string, Invalid, 0.451540470123291
50, 2, 5, {1: '(i_0 | ~i_0)\n'}, Valid, 1.6777148246765137
50, 2, 0, empty string, Invalid, 0.45819830894470215
50, 2, 0, empty string, Invalid, 0.43202924728393555
50, 2, 0, empty string, Invalid, 0.4560692310333252
50, 2, 0, empty string, Invalid, 0.47374963760375977
50, 2, 0, empty string, Invalid, 0.40010643005371094
50, 2, 0, {1: '(~i_0)\n'}, Valid, 0.7010736465454102
50, 2, 0, empty string, Invalid, 0.44873905181884766
-,-,-,-,-
50, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.7975752353668213
50, 3, 1, {1: '(~i_0)\n'}, Valid, 0.19585824012756348
50, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.6493933200836182
50, 3, 0, {1: '(~i_0)\n'}, Valid, 0.7304339408874512
50, 3, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.8491909503936768
50, 3, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.22127938270568848
50, 3, 0, {1: '(~i_0)\n'}, Valid, 0.7281558513641357
50, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7762432098388672
50, 3, 5, {1: '(i_0 | ~i_0)\n'}, Valid, 1.6796989440917969
50, 3, 3, {1: '(i_0 | ~i_0)\n'}, Valid, 1.2352063655853271
-,-,-,-,-
50, 4, 2, {1: '(~i_0)\n'}, Valid, 0.4434828758239746
50, 4, 0, empty string, Invalid, 0.463284969329834
50, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7887101173400879
50, 4, 3, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9497573375701904
50, 4, 1, {1: '(i_0 | ~i_0)\n'}, Valid, 0.1940600872039795
50, 4, 0, empty string, Invalid, 0.4516124725341797
50, 4, 5, {1: '(~i_0)\n'}, Valid, 1.633448600769043
50, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6925981044769287
50, 4, 0, empty string, Invalid, 0.45598673820495605
50, 4, 1, {1: '(i_0 | ~i_0)\n'}, Valid, 0.22042322158813477
-,-,-,-,-
50, 5, 0, {1: '(~i_0)\n'}, Valid, 0.758303165435791
50, 5, 1, {1: '(~i_0)\n'}, Valid, 0.17064833641052246
50, 5, 6, {1: '(i_0 | ~i_0)\n'}, Valid, 2.1260149478912354
50, 5, 0, {1: '(~i_0)\n'}, Valid, 0.723339319229126
50, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7858190536499023
50, 5, 4, {1: '(i_0 | ~i_0)\n'}, Valid, 1.6053435802459717
50, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6864378452301025
50, 5, 1, {1: '(~i_0)\n'}, Valid, 0.1732947826385498
50, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.7543838024139404
50, 5, 1, {1: '(~i_0)\n'}, Valid, 0.19417095184326172
-,-,-,-,-
50, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7830710411071777
50, 10, 0, empty string, Invalid, 0.4510529041290283
50, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.0057141780853271
50, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.66925048828125
50, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.1743452548980713
50, 10, 2, {1: '(i_0 | ~i_0)\n'}, Valid, 0.709425687789917
50, 10, 3, {1: '(i_0 | ~i_0)\n'}, Valid, 1.143559217453003
50, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7752485275268555
50, 10, 10, {1: '(~i_0)\n'}, Valid, 5.768662452697754
50, 10, 8, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 3.857893705368042
-,-,-,-,-
50, 50, 35, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 38.63918948173523
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 226.2080442905426
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 227.2183096408844
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 226.6196413040161
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 226.80974864959717
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 223.20613861083984
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 215.75283193588257
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 232.09184885025024
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 223.12903785705566
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 228.25377297401428
-,-,-,-,-
100, 1, 0, {1: '(~i_0)\n'}, Valid, 1.2159819602966309
100, 1, 0, empty string, Invalid, 0.9949557781219482
100, 1, 0, empty string, Invalid, 0.6076295375823975
100, 1, 0, empty string, Invalid, 0.8060381412506104
100, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.8206789493560791
100, 1, 0, empty string, Invalid, 0.5554094314575195
100, 1, 0, empty string, Invalid, 0.6611337661743164
100, 1, 0, empty string, Invalid, 0.5814905166625977
100, 1, 0, empty string, Invalid, 0.7110588550567627
100, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.0364274978637695
-,-,-,-,-
100, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9621899127960205
100, 2, 0, {1: '(~i_0)\n'}, Valid, 0.9925026893615723
100, 2, 3, {1: '(i_0 | ~i_0)\n'}, Valid, 1.2778089046478271
100, 2, 0, {1: '(~i_0)\n'}, Valid, 0.8291504383087158
100, 2, 0, empty string, Invalid, 0.572742223739624
100, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.8714120388031006
100, 2, 0, {1: '(~i_0)\n'}, Valid, 0.9855642318725586
100, 2, 0, empty string, Invalid, 0.7829556465148926
100, 2, 0, empty string, Invalid, 0.6731946468353271
100, 2, 2, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9560263156890869
-,-,-,-,-
100, 3, 1, {1: '(i_0 | ~i_0)\n'}, Valid, 0.5211703777313232
100, 3, 0, {1: '(~i_0)\n'}, Valid, 0.9502573013305664
100, 3, 3, {1: '(~i_0)\n'}, Valid, 1.1971423625946045
100, 3, 0, empty string, Invalid, 0.6533224582672119
100, 3, 2, {1: '(~i_0)\n'}, Valid, 0.8218433856964111
100, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.0091845989227295
100, 3, 2, {1: '(i_0 | ~i_0)\n'}, Valid, 1.4260084629058838
100, 3, 0, {1: '(~i_0)\n'}, Valid, 0.9607813358306885
100, 3, 0, {1: '(~i_0)\n'}, Valid, 0.8641302585601807
100, 3, 0, empty string, Invalid, 0.6841161251068115
-,-,-,-,-
100, 4, 1, {1: '(~i_0)\n'}, Valid, 0.29653072357177734
100, 4, 0, empty string, Invalid, 0.5732738971710205
100, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.172379970550537
100, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.0303468704223633
100, 4, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.4011504650115967
100, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.9111731052398682
100, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 0.9634063243865967
100, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.1073472499847412
100, 4, 2, {1: '(~i_0)\n'}, Valid, 1.5032830238342285
100, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.3087892532348633
-,-,-,-,-
100, 5, 1, {1: '(~i_0)\n'}, Valid, 0.5725986957550049
100, 5, 1, {1: '(~i_0)\n'}, Valid, 0.3315153121948242
100, 5, 1, {1: '(~i_0)\n'}, Valid, 0.3337526321411133
100, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid, 1.0218267440795898
100, 5, 2, {1: '(~i_0)\n'}, Valid, 1.4446232318878174
100, 5, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.6512279510498047
100, 5, 4, {1: '(i_0 | ~i_0)\n'}, Valid, 2.769357919692993
100, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6017107963562012
100, 5, 0, empty string, Invalid, 0.5901272296905518
